snapshot_date,product_id,warehouse_id,stock_on_hand,safety_stock_level,reorder_point,annual_holding_rate
2025-01-06,SKU-1000,WH-01,74,30,54,0.2
2025-01-06,SKU-1001,WH-01,288,80,183,0.2
2025-01-06,SKU-1002,WH-01,166,30,69,0.2
2025-01-06,SKU-1003,WH-01,126,30,70,0.2
2025-01-06,SKU-1004,WH-01,27,120,279,0.2
2025-01-06,SKU-1005,WH-01,258,80,184,0.2
2025-01-06,SKU-1006,WH-01,209,80,156,0.2
2025-01-06,SKU-1007,WH-01,0,80,169,0.2
2025-01-06,SKU-1008,WH-01,253,80,164,0.2
2025-01-06,SKU-1009,WH-01,241,50,119,0.2
2025-01-06,SKU-1010,WH-01,265,80,187,0.2
2025-01-06,SKU-1011,WH-01,431,120,220,0.2
2025-01-06,SKU-1012,WH-01,54,30,54,0.2
2025-01-06,SKU-1013,WH-01,10,30,69,0.2
2025-01-06,SKU-1014,WH-01,264,120,231,0.2
2025-01-06,SKU-1015,WH-01,197,80,188,0.2
2025-01-06,SKU-1016,WH-01,0,80,178,0.2
2025-01-06,SKU-1017,WH-01,92,50,91,0.2
2025-01-06,SKU-1018,WH-01,244,50,105,0.2
2025-01-06,SKU-1019,WH-01,309,120,274,0.2
2025-01-06,SKU-1020,WH-01,159,50,94,0.2
2025-01-06,SKU-1021,WH-01,353,120,283,0.2
2025-01-06,SKU-1022,WH-01,596,120,254,0.2
2025-01-06,SKU-1023,WH-01,503,120,261,0.2
2025-01-06,SKU-1024,WH-01,229,50,112,0.2
2025-01-06,SKU-1025,WH-01,131,30,71,0.2
2025-01-06,SKU-1026,WH-01,268,80,152,0.2
2025-01-06,SKU-1027,WH-01,116,30,61,0.2
2025-01-06,SKU-1028,WH-01,277,80,150,0.2
2025-01-06,SKU-1029,WH-01,214,80,164,0.2
2025-01-06,SKU-1030,WH-01,77,30,66,0.2
2025-01-06,SKU-1031,WH-01,356,80,156,0.2
2025-01-06,SKU-1032,WH-01,696,120,280,0.2
2025-01-06,SKU-1033,WH-01,592,120,254,0.2
2025-01-06,SKU-1034,WH-01,283,50,115,0.2
2025-01-06,SKU-1035,WH-01,319,120,256,0.2
2025-01-06,SKU-1036,WH-01,0,80,153,0.2
2025-01-06,SKU-1037,WH-01,479,120,274,0.2
2025-01-06,SKU-1038,WH-01,522,120,280,0.2
2025-01-06,SKU-1039,WH-01,14,30,70,0.2
2025-01-06,SKU-1040,WH-01,338,80,144,0.2
2025-01-06,SKU-1041,WH-01,33,120,247,0.2
2025-01-06,SKU-1042,WH-01,448,120,234,0.2
2025-01-06,SKU-1043,WH-01,64,30,58,0.2
2025-01-06,SKU-1044,WH-01,0,80,176,0.2
2025-01-06,SKU-1045,WH-01,352,80,163,0.2
2025-01-06,SKU-1046,WH-01,0,50,100,0.2
2025-01-06,SKU-1047,WH-01,214,50,103,0.2
2025-01-06,SKU-1048,WH-01,204,50,117,0.2
2025-01-06,SKU-1049,WH-01,140,30,68,0.2
2025-01-06,SKU-1050,WH-01,91,30,71,0.2
2025-01-06,SKU-1051,WH-01,18,30,60,0.2
2025-01-06,SKU-1052,WH-01,165,30,67,0.2
