order_id,order_date,product_id,warehouse_id,supplier_id,order_quantity,shipped_quantity,promised_delivery_date,actual_delivery_date,fulfillment_status
ORD-20250001,2025-03-01,SKU-1018,WH-01,SUP-107,25,25,2025-03-31,2025-03-31,OTIF
ORD-20250002,2025-04-10,SKU-1005,WH-01,SUP-105,50,50,2025-05-01,2025-04-30,OTIF
ORD-20250003,2025-08-15,SKU-1047,WH-04,SUP-107,25,25,2025-09-14,2025-09-17,Delayed - Full
ORD-20250004,2025-06-23,SKU-1007,WH-03,SUP-105,25,25,2025-07-14,2025-07-13,OTIF
ORD-20250005,2025-05-23,SKU-1017,WH-02,SUP-100,50,50,2025-06-13,2025-06-13,OTIF
ORD-20250006,2025-11-07,SKU-1043,WH-03,SUP-108,500,397,2025-11-28,2025-12-07,Delayed - Partial
ORD-20250007,2025-09-04,SKU-1050,WH-02,SUP-111,250,250,2025-09-18,2025-09-16,OTIF
ORD-20250008,2025-09-14,SKU-1049,WH-04,SUP-109,10,10,2025-09-21,2025-09-21,OTIF
ORD-20250009,2025-10-16,SKU-1010,WH-01,SUP-105,10,10,2025-11-06,2025-11-06,OTIF
ORD-20250010,2025-01-13,SKU-1022,WH-02,SUP-111,25,25,2025-01-27,2025-01-27,OTIF
ORD-20250011,2025-05-14,SKU-1059,WH-02,SUP-102,25,25,2025-06-04,2025-06-04,OTIF
ORD-20250012,2025-11-20,SKU-1022,WH-04,SUP-111,50,50,2025-12-04,2025-12-05,Delayed - Full
ORD-20250013,2025-07-08,SKU-1015,WH-03,SUP-111,25,25,2025-07-22,2025-07-20,OTIF
ORD-20250014,2025-08-11,SKU-1024,WH-02,SUP-104,10,10,2025-08-18,2025-08-17,OTIF
ORD-20250015,2025-02-03,SKU-1045,WH-01,SUP-103,25,25,2025-03-05,2025-03-03,OTIF
ORD-20250016,2025-05-11,SKU-1059,WH-03,SUP-106,50,50,2025-05-21,2025-05-21,OTIF
ORD-20250017,2025-04-18,SKU-1027,WH-03,SUP-107,100,100,2025-05-18,2025-05-17,OTIF
ORD-20250018,2025-05-20,SKU-1010,WH-04,SUP-107,25,25,2025-06-19,2025-06-27,Delayed - Full
ORD-20250019,2025-05-04,SKU-1051,WH-04,SUP-101,50,50,2025-05-14,2025-05-14,OTIF
ORD-20250020,2025-03-15,SKU-1035,WH-03,SUP-105,25,25,2025-04-05,2025-04-04,OTIF
